2020-08-05 21:17:08.293 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-08-05 21:17:08.298 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-08-05 21:18:10.712 [main] INFO  com.example.DuduMeetingWeixinApplication - Starting DuduMeetingWeixinApplication on LAPTOPCT-4FTFO075 with PID 104 (E:\IdeaProjects\weixin-dudu-metting\dudu-metting-ct\dudu-meeting-weixin\target\classes started by 20252 in E:\IdeaProjects\weixin-dudu-metting)
2020-08-05 21:18:10.715 [main] INFO  com.example.DuduMeetingWeixinApplication - No active profile set, falling back to default profiles: default
2020-08-05 21:18:11.768 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-08-05 21:18:11.779 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-08-05 21:18:11.780 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-08-05 21:18:11.781 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-08-05 21:18:11.898 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-08-05 21:18:11.898 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1131 ms
2020-08-05 21:18:12.046 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-05 21:18:12.170 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-08-05 21:18:12.190 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-08-05 21:18:12.198 [main] INFO  com.example.DuduMeetingWeixinApplication - Started DuduMeetingWeixinApplication in 2.149 seconds (JVM running for 3.478)
2020-08-05 21:18:33.822 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-08-05 21:18:33.827 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-08-05 21:18:33.850 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 21 ms
2020-08-05 21:42:23.295 [main] INFO  com.example.DuduMeetingWeixinApplication - Starting DuduMeetingWeixinApplication on LAPTOPCT-4FTFO075 with PID 8924 (E:\IdeaProjects\weixin-dudu-metting\dudu-metting-ct\dudu-meeting-weixin\target\classes started by 20252 in E:\IdeaProjects\weixin-dudu-metting)
2020-08-05 21:42:23.297 [main] INFO  com.example.DuduMeetingWeixinApplication - No active profile set, falling back to default profiles: default
2020-08-05 21:42:24.409 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-08-05 21:42:24.419 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-08-05 21:42:24.421 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-08-05 21:42:24.422 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-08-05 21:42:24.534 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-08-05 21:42:24.535 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1167 ms
2020-08-05 21:42:24.658 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-05 21:42:24.788 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-08-05 21:42:24.810 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-08-05 21:42:24.825 [main] INFO  com.example.DuduMeetingWeixinApplication - Started DuduMeetingWeixinApplication in 2.204 seconds (JVM running for 3.541)
2020-08-05 21:42:31.941 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-08-05 21:42:31.941 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-08-05 21:42:31.947 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-08-05 21:49:12.440 [main] INFO  com.example.DuduMeetingWeixinApplication - Starting DuduMeetingWeixinApplication on LAPTOPCT-4FTFO075 with PID 2572 (E:\IdeaProjects\weixin-dudu-metting\dudu-metting-ct\dudu-meeting-weixin\target\classes started by 20252 in E:\IdeaProjects\weixin-dudu-metting)
2020-08-05 21:49:12.445 [main] INFO  com.example.DuduMeetingWeixinApplication - No active profile set, falling back to default profiles: default
2020-08-05 21:49:13.452 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-08-05 21:49:13.460 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-08-05 21:49:13.460 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-08-05 21:49:13.461 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-08-05 21:49:13.555 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-08-05 21:49:13.555 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 962 ms
2020-08-05 21:49:13.682 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-05 21:49:13.811 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-08-05 21:49:13.828 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-08-05 21:49:13.836 [main] INFO  com.example.DuduMeetingWeixinApplication - Started DuduMeetingWeixinApplication in 2.102 seconds (JVM running for 3.377)
2020-08-05 21:49:19.628 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-08-05 21:49:19.628 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-08-05 21:49:19.633 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-08-05 21:51:49.311 [main] INFO  com.example.DuduMeetingWeixinApplication - Starting DuduMeetingWeixinApplication on LAPTOPCT-4FTFO075 with PID 21900 (E:\IdeaProjects\weixin-dudu-metting\dudu-metting-ct\dudu-meeting-weixin\target\classes started by 20252 in E:\IdeaProjects\weixin-dudu-metting)
2020-08-05 21:51:49.316 [main] INFO  com.example.DuduMeetingWeixinApplication - No active profile set, falling back to default profiles: default
2020-08-05 21:51:50.275 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-08-05 21:51:50.283 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-08-05 21:51:50.284 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-08-05 21:51:50.284 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-08-05 21:51:50.400 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-08-05 21:51:50.401 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 999 ms
2020-08-05 21:51:50.537 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-05 21:51:50.651 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-08-05 21:51:50.668 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-08-05 21:51:50.676 [main] INFO  com.example.DuduMeetingWeixinApplication - Started DuduMeetingWeixinApplication in 2.044 seconds (JVM running for 3.35)
2020-08-05 21:52:04.875 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-08-05 21:52:04.875 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-08-05 21:52:04.880 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-08-05 21:52:31.856 [main] INFO  com.example.DuduMeetingWeixinApplication - Starting DuduMeetingWeixinApplication on LAPTOPCT-4FTFO075 with PID 15136 (E:\IdeaProjects\weixin-dudu-metting\dudu-metting-ct\dudu-meeting-weixin\target\classes started by 20252 in E:\IdeaProjects\weixin-dudu-metting)
2020-08-05 21:52:31.860 [main] INFO  com.example.DuduMeetingWeixinApplication - No active profile set, falling back to default profiles: default
2020-08-05 21:52:32.823 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-08-05 21:52:32.835 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-08-05 21:52:32.836 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-08-05 21:52:32.836 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-08-05 21:52:32.947 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-08-05 21:52:32.947 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1014 ms
2020-08-05 21:52:33.090 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-05 21:52:33.203 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-08-05 21:52:33.223 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-08-05 21:52:33.231 [main] INFO  com.example.DuduMeetingWeixinApplication - Started DuduMeetingWeixinApplication in 2.073 seconds (JVM running for 3.281)
